years(Äê£© mjd gps(input) gps(rm_leap) gps(rm_leap_3sigma) gps(rm_leap_sigma_depoly) gps(rm_leap_sigma_running_aver) gps(rm_leap_sigma_running_aver_sigma) year month day
2004.572 53214.5   -6.71   -6.71    7.13    7.10    7.80    7.80 2004    7   28
2004.575 53215.5    7.34    7.34    7.34    7.31    8.00    8.00 2004    7   29
2004.578 53216.5   -7.26   -7.26    6.22    6.19    6.87    6.87 2004    7   30
2004.581 53217.5    5.10    5.10    5.10    5.07    5.75    5.75 2004    7   31
2004.583 53218.5    7.21    7.21    7.21    7.18    7.85    7.85 2004    8    1
2004.586 53219.5    5.07    5.07    5.07    5.04    5.71    5.71 2004    8    2
2004.589 53220.5    3.35    3.35    3.35    3.31    3.97    3.97 2004    8    3
2004.592 53221.5    1.69    1.69    1.69    1.66    2.31    2.31 2004    8    4
2004.594 53222.5    3.42    3.42    3.42    3.38    4.01    4.01 2004    8    5
2004.597 53223.5    9.56    9.56    9.56    9.52   10.14   10.14 2004    8    6
2004.600 53224.5   19.88   19.88   10.55   10.51   11.15   11.15 2004    8    7
2004.602 53225.5   11.54   11.54   11.54   11.50   12.15   12.15 2004    8    8
2004.605 53226.5   -2.75   -2.75   -2.75   -2.79   -2.15   -2.15 2004    8    9
2004.608 53227.5   10.94   10.94   10.94   10.90   11.55   11.55 2004    8   10
2004.611 53228.5    2.48    2.48    2.48    2.43    3.10    3.10 2004    8   11
2004.613 53229.5  -10.57  -10.57   -0.11   -0.16    0.51    0.51 2004    8   12
2004.616 53230.5   -2.70   -2.70   -2.70   -2.75   -2.07   -2.07 2004    8   13
2004.619 53231.5    5.25    5.25    5.25    5.21    5.92    5.92 2004    8   14
2004.622 53232.5   -0.22   -0.22   -0.22   -0.27    0.46    0.46 2004    8   15
2004.624 53233.5   -1.02   -1.02   -1.02   -1.07   -0.33   -0.33 2004    8   16
2004.627 53234.5   -0.73   -0.73   -0.73   -0.78   -0.01   -0.01 2004    8   17
2004.630 53235.5    1.78    1.78    1.78    1.73    2.55    2.55 2004    8   18
2004.633 53236.5    2.12    2.12    2.12    2.07    2.92    2.92 2004    8   19
2004.635 53237.5   -8.88   -8.88    2.19    2.14    3.03    3.03 2004    8   20
2004.638 53238.5    2.27    2.27    2.27    2.21    3.09    3.09 2004    8   21
2004.641 53239.5    1.59    1.59    1.59    1.53    2.41    2.41 2004    8   22
2004.643 53240.5    3.26    3.26    3.26    3.20    4.06    4.06 2004    8   23
2004.646 53241.5   -0.83   -0.83   -0.83   -0.89   -0.02   -0.02 2004    8   24
2004.649 53242.5    2.75    2.75    2.75    2.69    3.53    3.53 2004    8   25
2004.652 53243.5    0.64    0.64    0.64    0.57    1.42    1.42 2004    8   26
2004.654 53244.5   -2.77   -2.77   -2.77   -2.83   -1.99   -1.99 2004    8   27
2004.657 53245.5   -6.52   -6.52   -6.52   -6.59   -5.72   -5.72 2004    8   28
2004.660 53246.5   -0.79   -0.79   -0.79   -0.86    0.02    0.02 2004    8   29
2004.663 53247.5    7.58    7.58    7.58    7.51    8.39    8.39 2004    8   30
2004.665 53248.5    2.69    2.69    2.69    2.62    3.49    3.49 2004    8   31
2004.668 53249.5    3.55    3.55    3.55    3.47    4.37    4.37 2004    9    1
2004.671 53250.5   -2.10   -2.10   -2.10   -2.17   -1.28   -1.28 2004    9    2
2004.673 53251.5    4.42    4.42    4.42    4.34    5.24    5.24 2004    9    3
2004.676 53252.5    7.53    7.53    7.53    7.45    8.32    8.32 2004    9    4
2004.679 53253.5    2.65    2.65    2.65    2.58    3.43    3.43 2004    9    5
2004.682 53254.5   -2.90   -2.90   -2.90   -2.98   -2.15   -2.15 2004    9    6
2004.684 53255.5    3.53    3.53    3.53    3.45    4.31    4.31 2004    9    7
2004.687 53256.5   10.82   10.82   10.82   10.74   11.61   11.61 2004    9    8
2004.690 53257.5    2.16    2.16    2.16    2.08    2.96    2.96 2004    9    9
2004.693 53258.5    1.18    1.18    1.18    1.09    1.98    1.98 2004    9   10
2004.695 53259.5    2.54    2.54    2.54    2.45    3.33    3.33 2004    9   11
2004.698 53260.5    2.38    2.38    2.38    2.29    3.16    3.16 2004    9   12
2004.701 53261.5    2.64    2.64    2.64    2.55    3.43    3.43 2004    9   13
2004.703 53262.5   -6.61   -6.61   -6.61   -6.70   -5.83   -5.83 2004    9   14
2004.706 53263.5   -2.34   -2.34   -2.34   -2.43   -1.57   -1.57 2004    9   15
2004.709 53264.5    1.20    1.20    1.20    1.10    1.95    1.95 2004    9   16
